"Florida Occupational Employment and Wages",,,,,,,,,,,
"Florida - Statewide",,,,,,,,,,,
Occupational,,2009,,"(2010 wage estimates in dollars)",,,,,,,
Code,Title,Employment,,Mean,,Median,,Entry**,,Exp***,
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",970,,17.26,,15.50,,11.26,,20.27,
47-2043,"Floor Sanders and Finishers",N/R,,14.94,,15.74,,11.64,,16.59,
27-1023,"Floral Designers","2,520",,12.08,,11.60,,8.73,,13.76,
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",220,,12.45,,11.00,,8.57,,14.39,
51-3092,"Food Batchmakers","1,590",,10.88,,9.40,,7.96,,12.34,
51-3093,"Food Cooking Machine Operators and Tenders",770,,12.15,,10.58,,8.30,,14.07,
35-9099,"Food Preparation and Serving Related Workers, All Other","3,800",,12.59,,10.82,,8.14,,14.81,
35-2021,"Food Preparation Workers","50,930",,9.74,,9.14,,8.00,,10.61,
19-1012,"Food Scientists and Technologists",240,,24.37,,22.30,,15.09,,29.01,
35-3041,"Food Servers, Nonrestaurant","11,390",,10.05,,9.30,,8.02,,11.07,
11-9051,"Food Service Managers","10,260",,26.55,,24.67,,17.29,,31.19,
25-1124,"Foreign Language and Literature Teachers, Postsecondary",610,,"59,666",*,"55,331",*,"37,535",*,"70,732",*
19-4092,"Forensic Science Technicians","1,340",,21.86,,20.91,,14.86,,25.36,
19-4093,"Forest and Conservation Technicians",180,,19.93,,19.79,,14.81,,22.48,
45-4011,"Forest and Conservation Workers",N/R,,16.09,,15.32,,9.94,,19.16,
19-1032,Foresters,370,,22.73,,21.27,,17.05,,25.57,
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",100,,"78,814",*,"80,671",*,"49,575",*,"93,433",*
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",170,,13.87,,13.49,,9.77,,15.92,
51-4071,"Foundry Mold and Coremakers",100,,13.71,,13.29,,10.83,,15.16,
39-4021,"Funeral Attendants","2,050",,11.56,,10.40,,8.40,,13.16,
11-9061,"Funeral Directors",860,,29.16,,28.04,,19.14,,34.16,
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",400,,16.06,,15.51,,11.15,,18.52,
51-7021,"Furniture Finishers",730,,14.57,,13.90,,9.71,,17.00,
39-3012,"Gaming and Sports Book Writers and Runners",910,,12.42,,11.21,,8.07,,14.58,
43-3041,"Gaming Cage Workers",N/R,,12.55,,11.95,,9.87,,13.88,
41-2012,"Gaming Change Persons and Booth Cashiers",160,,11.40,,10.11,,8.44,,12.88,
39-3011,"Gaming Dealers",N/R,,12.04,,8.12,,7.65,,14.23,
11-9071,"Gaming Managers",90,,32.26,,30.79,,22.52,,37.13,
39-3019,"Gaming Service Workers, All Other",260,,12.25,,11.62,,8.96,,13.91,
39-1011,"Gaming Supervisors",230,,22.44,,22.52,,16.29,,25.52,
33-9031,"Gaming Surveillance Officers and Gaming Investigators",N/R,,14.41,,12.76,,11.36,,15.93,
53-7071,"Gas Compressor and Gas Pumping Station Operators",N/R,,16.88,,15.31,,14.04,,18.31,
51-8092,"Gas Plant Operators",150,,24.98,,25.54,,17.22,,28.86,
11-1021,"General and Operations Managers","56,000",,48.63,,41.75,,23.94,,60.99,
25-1064,"Geography Teachers, Postsecondary",120,,"73,997",*,"70,161",*,"52,538",*,"84,726",*
19-4041,"Geological and Petroleum Technicians",190,,17.13,,16.67,,13.00,,19.20,
19-2042,"Geoscientists, Except Hydrologists and Geographers",930,,32.30,,29.13,,21.67,,37.63,
47-2121,Glaziers,"3,830",,16.66,,16.33,,11.60,,19.18,
45-2041,"Graders and Sorters, Agricultural Products","3,980",,8.61,,8.30,,7.85,,8.99,
25-1191,"Graduate Teaching Assistants",70,,"39,390",*,"39,463",*,"29,327",*,"44,422",*
27-1024,"Graphic Designers","12,200",,20.25,,18.81,,13.32,,23.71,
51-9022,"Grinding and Polishing Workers, Hand",960,,12.90,,12.22,,9.52,,14.59,
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","1,540",,13.96,,13.44,,10.07,,15.90,
37-3019,"Grounds Maintenance Workers, All Other",460,,15.51,,14.93,,9.75,,18.39,
39-5012,"Hairdressers, Hairstylists, and Cosmetologists","23,660",,13.18,,11.45,,8.42,,15.55,
47-4041,"Hazardous Materials Removal Workers",880,,15.76,,14.87,,11.45,,17.92,
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",850,,30.79,,29.90,,19.60,,36.38,
29-1199,"Health Diagnosing and Treating Practitioners, All Other","3,670",,29.96,,29.96,,19.21,,35.34,
21-1091,"Health Educators","2,380",,20.51,,18.93,,11.81,,24.88,
25-1071,"Health Specialties Teachers, Postsecondary","7,500",,"103,459",*,"81,687",*,"40,660",*,"134,859",*
29-2099,"Health Technologists and Technicians, All Other","4,410",,18.71,,16.82,,12.69,,21.73,
29-9099,"Healthcare Practitioners and Technical Workers, All Other","1,730",,22.61,,16.45,,11.80,,28.01,
31-9099,"Healthcare Support Workers, All Other","7,940",,14.02,,13.31,,10.32,,15.86,
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",190,,14.08,,13.38,,10.12,,16.06,
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","22,220",,18.95,,18.19,,13.09,,21.88,
47-3019,"Helpers, Construction Trades, All Other","2,720",,12.19,,11.90,,8.99,,13.79,
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters","2,830",,12.25,,12.12,,9.25,,13.75,
47-3012,Helpers--Carpenters,"3,460",,12.10,,12.01,,8.90,,13.70,
47-3013,Helpers--Electricians,"9,230",,12.86,,12.69,,10.15,,14.21,
47-5081,"Helpers--Extraction Workers",240,,12.68,,12.08,,9.35,,14.35,
49-9098,"Helpers--Installation, Maintenance, and Repair Workers","7,720",,11.15,,10.51,,8.40,,12.51,
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons","1,110",,11.10,,10.51,,9.00,,12.14,
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters","4,450",,12.81,,12.53,,9.92,,14.26,
51-9198,"Helpers--Production Workers","11,660",,11.76,,11.29,,8.48,,13.40,
47-3016,Helpers--Roofers,"2,310",,11.56,,11.52,,9.73,,12.48,
47-4051,"Highway Maintenance Workers","2,790",,14.91,,13.83,,10.69,,17.02,
19-3093,Historians,70,,27.05,,25.17,,15.72,,32.72,
25-1125,"History Teachers, Postsecondary",500,,"62,859",*,"59,711",*,"41,714",*,"73,431",*
53-7041,"Hoist and Winch Operators",150,,16.10,,14.53,,11.85,,18.23,
49-9031,"Home Appliance Repairers","2,700",,17.02,,16.04,,11.36,,19.85,
31-1011,"Home Health Aides","30,310",,10.54,,9.99,,8.46,,11.58,
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","25,400",,9.58,,8.90,,7.87,,10.43,
43-4081,"Hotel, Motel, and Resort Desk Clerks","17,810",,10.44,,9.87,,8.42,,11.45,
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping","10,760",,17.15,,16.37,,12.61,,19.43,
11-3049,"Human Resources Managers, All Other","1,970",,46.01,,40.93,,28.77,,54.63,
13-1079,"Human Resources, Training, and Labor Relations Specialists, All Other","11,270",,27.58,,25.94,,17.48,,32.63,
19-2043,Hydrologists,550,,38.64,,38.30,,26.62,,44.65,
17-3026,"Industrial Engineering Technicians","2,520",,20.78,,19.77,,14.81,,23.75,
17-2112,"Industrial Engineers","10,170",,33.41,,32.51,,21.08,,39.58,
49-9041,"Industrial Machinery Mechanics","10,960",,21.19,,20.74,,14.87,,24.35,
11-3051,"Industrial Production Managers","2,760",,47.84,,43.34,,28.53,,57.48,
53-7051,"Industrial Truck and Tractor Operators","20,550",,14.05,,13.35,,10.30,,15.92,
19-3032,"Industrial-Organizational Psychologists",N/R,,61.65,,59.04,,30.96,,76.99,
43-4199,"Information and Record Clerks, All Other","15,390",,16.12,,15.49,,11.44,,18.47,
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers","11,260",,16.07,,14.75,,10.31,,18.95,
49-9099,"Installation, Maintenance, and Repair Workers, All Other","12,130",,15.07,,14.26,,9.89,,17.66,
25-9031,"Instructional Coordinators","5,980",,25.83,,24.13,,16.33,,30.58,
47-2131,"Insulation Workers, Floor, Ceiling, and Wall","1,570",,16.31,,14.81,,10.56,,19.19,
47-2132,"Insulation Workers, Mechanical","1,960",,16.95,,15.81,,11.92,,19.46,
13-1032,"Insurance Appraisers, Auto Damage",430,,26.81,,26.88,,22.05,,29.18,
43-9041,"Insurance Claims and Policy Processing Clerks","12,270",,15.89,,15.10,,12.32,,17.69,
41-3021,"Insurance Sales Agents","35,800",,29.53,,21.52,,14.49,,37.04,
13-2053,"Insurance Underwriters","5,600",,27.29,,25.05,,17.81,,32.01,
27-1025,"Interior Designers","3,270",,23.96,,21.56,,13.27,,29.30,
29-1063,"Internists, General","1,160",,96.44,,N/R,,62.25,,113.53,
27-3091,"Interpreters and Translators","2,100",,19.63,,16.19,,8.91,,24.99,
43-4111,"Interviewers, Except Eligibility and Loan","21,310",,13.74,,13.42,,10.01,,15.61,
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","112,490",,10.50,,9.62,,8.18,,11.66,
51-9071,"Jewelers and Precious Stone and Metal Workers","1,710",,16.35,,15.12,,11.79,,18.62,
51-5021,"Job Printers","2,480",,14.65,,13.68,,9.83,,17.05,
23-1023,"Judges, Magistrate Judges, and Magistrates",N/R,,51.39,,58.25,,33.68,,60.23,
25-2012,"Kindergarten Teachers, Except Special Education","11,550",,"49,300",*,"46,382",*,"34,855",*,"56,522",*
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand","88,020",,11.54,,10.61,,8.40,,13.11,
17-1012,"Landscape Architects","1,480",,31.09,,29.58,,18.20,,37.53,
37-3011,"Landscaping and Groundskeeping Workers","76,880",,11.36,,10.66,,8.48,,12.80,
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",570,,15.08,,14.86,,11.87,,16.68,
51-6011,"Laundry and Dry-Cleaning Workers","12,680",,9.57,,9.10,,8.10,,10.31,
23-2092,"Law Clerks","2,000",,17.22,,15.02,,11.06,,20.30,
25-1112,"Law Teachers, Postsecondary",560,,"115,185",*,"110,192",*,"59,079",*,"143,237",*
23-1011,Lawyers,"38,740",,55.19,,45.57,,24.99,,70.29,
51-4192,"Lay-Out Workers, Metal and Plastic",280,,16.27,,15.90,,12.90,,17.95,
43-6012,"Legal Secretaries","15,080",,19.50,,18.80,,13.71,,22.40,
23-2099,"Legal Support Workers, All Other","1,190",,22.43,,21.91,,16.34,,25.46,
11-1031,Legislators,"1,630",,"36,920",*,"31,550",*,"26,667",*,"42,047",*
25-4021,Librarians,"7,280",,27.41,,26.08,,18.92,,31.64,
43-4121,"Library Assistants, Clerical","5,280",,11.89,,11.58,,8.92,,13.38,
25-1082,"Library Science Teachers, Postsecondary",110,,"80,056",*,"71,732",*,"52,279",*,"93,946",*
25-4031,"Library Technicians","2,550",,15.23,,14.46,,11.23,,17.23,
29-2061,"Licensed Practical and Licensed Vocational Nurses","43,350",,19.43,,19.20,,16.03,,21.13,
19-1099,"Life Scientists, All Other",800,,34.13,,29.25,,19.99,,41.21,
19-4099,"Life, Physical, and Social Science Technicians, All Other","2,660",,18.85,,17.44,,12.40,,22.07,
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","6,330",,11.53,,10.37,,8.37,,13.11,
13-2071,"Loan Counselors","1,180",,21.06,,18.12,,14.12,,24.53,
43-4131,"Loan Interviewers and Clerks","14,880",,16.59,,16.11,,12.23,,18.77,
13-2072,"Loan Officers","26,130",,28.28,,24.34,,15.97,,34.43,
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants","1,400",,11.21,,10.47,,8.40,,12.61,
49-9094,"Locksmiths and Safe Repairers","1,510",,16.65,,14.85,,9.10,,20.44,
53-4011,"Locomotive Engineers",870,,24.13,,23.80,,19.48,,26.45,
11-9081,"Lodging Managers","1,570",,33.14,,27.77,,19.78,,39.82,
45-4023,"Log Graders and Scalers",N/R,,15.43,,15.14,,12.23,,17.02,
45-4022,"Logging Equipment Operators",880,,15.04,,14.73,,12.66,,16.24,
45-4029,"Logging Workers, All Other",N/R,,19.60,,20.11,,17.61,,20.59,
13-1081,Logisticians,"3,310",,31.91,,30.71,,20.76,,37.49,
53-7063,"Machine Feeders and Offbearers","4,600",,13.39,,13.41,,9.15,,15.51,
51-4041,Machinists,"9,390",,17.58,,17.36,,11.67,,20.53,
37-2012,"Maids and Housekeeping Cleaners","67,750",,9.52,,9.10,,8.12,,10.22,
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service",N/R,,11.94,,11.60,,9.19,,13.31,
49-9042,"Maintenance and Repair Workers, General","72,930",,15.66,,14.74,,10.66,,18.16,
49-9043,"Maintenance Workers, Machinery","2,380",,17.08,,16.14,,12.23,,19.50,
13-1111,"Management Analysts","36,080",,36.69,,30.99,,18.96,,45.56,
11-9199,"Managers, All Other","13,480",,43.58,,40.65,,24.34,,53.20,
39-5092,"Manicurists and Pedicurists","3,410",,10.61,,9.29,,7.91,,11.97,
49-9095,"Manufactured Building and Mobile Home Installers",N/R,,20.17,,21.42,,15.28,,22.61,
17-2121,"Marine Engineers and Naval Architects",350,,37.91,,38.76,,28.99,,42.37,
19-3021,"Market Research Analysts","6,400",,28.84,,25.71,,16.07,,35.23,
11-2021,"Marketing Managers","5,560",,53.47,,49.27,,27.80,,66.30,
21-1013,"Marriage and Family Therapists","1,700",,19.66,,18.90,,13.18,,22.89,
31-9011,"Massage Therapists","4,220",,18.57,,16.56,,10.39,,22.66,
53-7199,"Material Moving Workers, All Other","2,160",,17.86,,17.07,,8.75,,22.40,
17-2131,"Materials Engineers",390,,38.70,,39.31,,22.97,,46.56,
19-2032,"Materials Scientists",60,,35.27,,35.64,,22.94,,41.43,
25-1022,"Mathematical Science Teachers, Postsecondary","2,120",,"63,830",*,"61,840",*,"38,621",*,"76,435",*
15-2099,"Mathematical Scientists, All Other",60,,20.96,,19.93,,16.60,,23.14,
15-2091,"Mathematical Technicians",150,,18.36,,17.18,,14.03,,20.51,
15-2021,Mathematicians,80,,39.57,,41.89,,26.13,,46.28,
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers","2,690",,12.95,,12.84,,8.87,,14.97,
49-9011,"Mechanical Door Repairers",850,,16.01,,15.29,,10.74,,18.65,
17-3013,"Mechanical Drafters","1,500",,23.21,,22.02,,16.18,,26.72,
17-3027,"Mechanical Engineering Technicians",570,,23.20,,22.57,,15.31,,27.14,
17-2141,"Mechanical Engineers","5,950",,36.25,,35.18,,24.35,,42.20,
27-4099,"Media and Communication Equipment Workers, All Other",820,,28.90,,28.31,,14.64,,36.04,
27-3099,"Media and Communication Workers, All Other","1,960",,20.94,,19.10,,13.14,,24.84,
29-2012,"Medical and Clinical Laboratory Technicians","7,360",,17.48,,16.70,,11.68,,20.38,
29-2011,"Medical and Clinical Laboratory Technologists","10,400",,25.96,,25.85,,20.61,,28.63,
11-9111,"Medical and Health Services Managers","8,200",,47.92,,42.06,,30.75,,56.50,
21-1022,"Medical and Public Health Social Workers","5,480",,21.96,,21.50,,15.00,,25.45,
51-9082,"Medical Appliance Technicians","1,010",,18.47,,16.46,,14.01,,20.69,
31-9092,"Medical Assistants","35,250",,14.03,,13.66,,10.84,,15.62,
31-9093,"Medical Equipment Preparers","5,810",,12.41,,12.14,,10.13,,13.55,
49-9062,"Medical Equipment Repairers","2,630",,19.37,,18.01,,11.63,,23.24,
29-2071,"Medical Records and Health Information Technicians","10,420",,15.64,,14.14,,10.31,,18.31,
19-1042,"Medical Scientists, Except Epidemiologists","2,600",,40.49,,38.33,,20.13,,50.67,
43-6013,"Medical Secretaries","18,360",,13.61,,13.36,,10.76,,15.04,
31-9094,"Medical Transcriptionists","4,420",,15.06,,14.85,,11.95,,16.61,
13-1121,"Meeting and Convention Planners","3,420",,20.73,,19.46,,13.80,,24.20,
21-1023,"Mental Health and Substance Abuse Social Workers","6,080",,17.36,,16.37,,12.42,,19.83,
21-1014,"Mental Health Counselors","4,410",,19.70,,18.35,,13.64,,22.74,
27-1026,"Merchandise Displayers and Window Trimmers","2,070",,14.14,,12.89,,10.01,,16.21,
51-4199,"Metal Workers and Plastic Workers, All Other","1,160",,15.19,,14.27,,10.44,,17.56,
51-4051,"Metal-Refining Furnace Operators and Tenders",230,,14.51,,13.95,,12.37,,15.58,
43-5041,"Meter Readers, Utilities","2,400",,15.49,,14.66,,11.99,,17.24,
19-1022,Microbiologists,290,,27.76,,23.97,,16.79,,33.25,
25-2022,"Middle School Teachers, Except Special and Vocational Education","31,810",,"51,098",*,"47,683",*,"37,393",*,"57,951",*
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",140,,14.26,,13.58,,11.32,,15.73,
49-9044,Millwrights,"1,160",,22.30,,22.76,,15.91,,25.49,
47-5042,"Mine Cutting and Channeling Machine Operators",N/R,,14.92,,14.70,,12.23,,16.26,
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",30,,38.00,,34.06,,27.65,,43.16,
47-5049,"Mining Machine Operators, All Other",50,,18.47,,17.50,,13.47,,20.98,
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders","5,950",,14.26,,13.83,,9.95,,16.42,
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines","4,210",,20.70,,20.01,,14.56,,23.78,
51-4061,"Model Makers, Metal and Plastic",N/R,,21.39,,18.09,,15.63,,24.27,
51-7031,"Model Makers, Wood",20,,17.41,,14.87,,11.66,,20.29,
41-9012,Models,30,,11.37,,8.24,,7.82,,13.13,
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic","1,680",,14.56,,14.08,,10.24,,16.72,
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","1,730",,14.03,,13.24,,9.53,,16.28,
39-3021,"Motion Picture Projectionists",580,,10.32,,9.71,,8.27,,11.33,
53-3099,"Motor Vehicle Operators, All Other","7,350",,12.51,,10.97,,8.27,,14.62,
49-3051,"Motorboat Mechanics","2,320",,19.11,,19.20,,12.32,,22.50,
53-5022,"Motorboat Operators",280,,15.96,,13.97,,9.69,,19.10,
49-3052,"Motorcycle Mechanics","1,040",,17.14,,16.74,,12.70,,19.37,
27-1014,"Multi-Media Artists and Animators",670,,26.69,,24.78,,17.90,,31.08,
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","1,080",,14.52,,14.25,,10.42,,16.57,
25-4013,"Museum Technicians and Conservators",440,,15.56,,13.98,,9.94,,18.37,
27-2041,"Music Directors and Composers",530,,24.74,,21.48,,12.98,,30.62,
49-9063,"Musical Instrument Repairers and Tuners",N/R,,15.05,,13.94,,10.95,,17.09,
27-2042,"Musicians and Singers","2,890",,21.07,,19.69,,9.88,,26.67,
11-9121,"Natural Sciences Managers",780,,57.18,,51.31,,38.77,,66.39,
15-1071,"Network and Computer Systems Administrators","13,970",,33.84,,32.31,,22.13,,39.70,
15-1081,"Network Systems and Data Communications Analysts","16,560",,34.06,,32.15,,21.16,,40.51,
43-4141,"New Accounts Clerks","5,730",,14.13,,13.85,,10.95,,15.71,
39-2021,"Nonfarm Animal Caretakers","8,400",,10.94,,9.90,,8.29,,12.26,
17-2161,"Nuclear Engineers",N/R,,46.17,,46.92,,39.10,,49.70,
29-2033,"Nuclear Medicine Technologists","2,450",,31.82,,31.69,,24.36,,35.55,
51-8011,"Nuclear Power Reactor Operators",N/R,,37.23,,37.13,,28.71,,41.48,
51-4012,"Numerical Tool and Process Control Programmers",220,,20.25,,18.89,,13.04,,23.86,
31-1012,"Nursing Aides, Orderlies, and Attendants","87,150",,11.50,,11.32,,9.50,,12.50,
25-1072,"Nursing Instructors and Teachers, Postsecondary","1,710",,"74,253",*,"71,491",*,"48,928",*,"86,917",*
29-1064,"Obstetricians and Gynecologists",610,,108.47,,N/R,,N/R,,N/R,
29-9011,"Occupational Health and Safety Specialists","1,750",,30.80,,30.90,,20.78,,35.80,
29-9012,"Occupational Health and Safety Technicians",250,,20.40,,20.08,,14.87,,23.18,
31-2012,"Occupational Therapist Aides",270,,13.38,,11.08,,8.55,,15.79,
31-2011,"Occupational Therapist Assistants","1,110",,28.13,,28.35,,22.52,,30.94,
29-1122,"Occupational Therapists","5,730",,35.58,,36.32,,23.47,,41.63,
43-9199,"Office and Administrative Support Workers, All Other","9,260",,13.09,,11.56,,8.23,,15.53,
43-9061,"Office Clerks, General","148,910",,12.22,,11.59,,8.47,,14.10,
43-9071,"Office Machine Operators, Except Computer","3,700",,12.84,,12.02,,9.26,,14.62,
47-2073,"Operating Engineers and Other Construction Equipment Operators","17,160",,17.36,,16.34,,12.73,,19.68,
15-2031,"Operations Research Analysts","7,580",,28.09,,26.27,,18.46,,32.90,
51-9083,"Ophthalmic Laboratory Technicians","3,120",,13.62,,13.44,,9.99,,15.42,
29-2081,"Opticians, Dispensing","4,260",,18.09,,17.99,,12.26,,21.01,
29-1041,Optometrists,"1,100",,54.65,,51.47,,24.05,,69.95,
29-1022,"Oral and Maxillofacial Surgeons",330,,97.25,,N/R,,N/R,,N/R,
43-4151,"Order Clerks","20,950",,13.39,,12.80,,9.16,,15.50,
29-1023,Orthodontists,N/R,,108.23,,N/R,,N/R,,N/R,
29-2091,"Orthotists and Prosthetists",220,,32.35,,30.58,,18.64,,39.19,
49-3053,"Outdoor Power Equipment and Other Small Engine Mechanics","2,420",,15.30,,14.57,,11.52,,17.19,
51-9111,"Packaging and Filling Machine Operators and Tenders","11,030",,12.90,,11.76,,8.64,,15.02,
53-7064,"Packers and Packagers, Hand","29,780",,10.42,,9.71,,8.16,,11.55,
47-2141,"Painters, Construction and Maintenance","16,310",,15.27,,14.89,,10.52,,17.64,
51-9122,"Painters, Transportation Equipment","2,950",,19.10,,18.41,,13.23,,22.04,
51-9123,"Painting, Coating, and Decorating Workers","1,960",,12.39,,12.17,,9.15,,14.00,
51-9196,"Paper Goods Machine Setters, Operators, and Tenders","1,770",,15.09,,14.11,,10.36,,17.45,
47-2142,Paperhangers,N/R,,13.62,,13.44,,9.50,,15.68,
23-2011,"Paralegals and Legal Assistants","19,860",,22.33,,21.69,,15.35,,25.82,
33-3041,"Parking Enforcement Workers",450,,16.36,,16.30,,12.05,,18.51,
53-6021,"Parking Lot Attendants","12,300",,9.15,,8.55,,7.79,,9.83,
41-2022,"Parts Salespersons","12,810",,13.72,,12.53,,9.46,,15.85,
51-4062,"Patternmakers, Metal and Plastic",70,,15.87,,14.51,,9.86,,18.86,
47-2071,"Paving, Surfacing, and Tamping Equipment Operators","2,810",,15.53,,14.71,,12.09,,17.24,
43-3051,"Payroll and Timekeeping Clerks","8,840",,16.17,,15.89,,11.60,,18.45,
29-1065,"Pediatricians, General","1,220",,78.76,,70.87,,43.05,,96.61,
39-9021,"Personal and Home Care Aides","12,910",,9.67,,9.28,,8.19,,10.40,
39-9099,"Personal Care and Service Workers, All Other","10,760",,10.68,,9.77,,8.16,,11.94,
13-2052,"Personal Financial Advisors","13,250",,31.81,,24.12,,15.98,,39.72,
37-2021,"Pest Control Workers","9,730",,14.19,,13.84,,10.01,,16.28,
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","2,130",,14.45,,13.98,,10.42,,16.46,
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",140,,22.52,,22.40,,20.01,,23.77,
29-1051,Pharmacists,"16,890",,51.72,,52.48,,42.53,,56.33,
31-9095,"Pharmacy Aides","6,800",,9.80,,9.52,,8.43,,10.49,
29-2052,"Pharmacy Technicians","20,510",,13.47,,13.23,,10.18,,15.11,
25-1126,"Philosophy and Religion Teachers, Postsecondary",690,,"63,227",*,"58,572",*,"38,234",*,"75,724",*
27-4021,Photographers,"3,510",,15.51,,13.02,,8.50,,19.03,
51-9131,"Photographic Process Workers",920,,14.00,,13.36,,9.31,,16.34,
51-9132,"Photographic Processing Machine Operators","3,580",,10.27,,9.42,,8.20,,11.30,
19-2099,"Physical Scientists, All Other",650,,37.58,,32.98,,21.55,,45.60,
31-2022,"Physical Therapist Aides","2,380",,11.49,,11.17,,8.83,,12.82,
31-2021,"Physical Therapist Assistants","3,550",,25.86,,26.41,,18.79,,29.40,
29-1123,"Physical Therapists","11,010",,38.78,,37.93,,28.11,,44.13,
29-1071,"Physician Assistants","3,860",,42.64,,42.09,,30.84,,48.54,
29-1069,"Physicians and Surgeons, All Other","18,930",,92.79,,N/R,,51.70,,113.32,
19-2012,Physicists,270,,66.39,,55.51,,34.41,,82.38,
25-1054,"Physics Teachers, Postsecondary",530,,"73,885",*,"70,499",*,"46,865",*,"87,395",*
47-2072,"Pile-Driver Operators",450,,21.65,,19.64,,15.67,,24.64,
47-2151,Pipelayers,"3,760",,15.79,,15.01,,12.29,,17.55,
51-8099,"Plant and System Operators, All Other",530,,20.78,,20.48,,13.84,,24.25,
47-2161,"Plasterers and Stucco Masons","2,980",,18.36,,17.61,,12.74,,21.17,
51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",610,,13.22,,11.88,,8.70,,15.49,
47-2152,"Plumbers, Pipefitters, and Steamfitters","23,200",,18.33,,17.73,,12.93,,21.04,
29-1081,Podiatrists,660,,66.76,,58.75,,35.47,,82.40,
33-3051,"Police and Sheriff's Patrol Officers","35,520",,26.30,,25.59,,18.46,,30.21,
43-5031,"Police, Fire, and Ambulance Dispatchers","6,330",,18.28,,17.24,,13.01,,20.92,
25-1065,"Political Science Teachers, Postsecondary",440,,"69,694",*,"63,245",*,"41,523",*,"83,779",*
43-5051,"Postal Service Clerks","4,140",,25.43,,25.60,,24.58,,25.85,
43-5052,"Postal Service Mail Carriers","19,570",,23.88,,25.44,,19.96,,25.84,
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators","8,610",,24.51,,25.59,,22.26,,25.63,
11-9131,"Postmasters and Mail Superintendents",420,,35.38,,36.08,,26.27,,39.94,
25-1199,"Postsecondary Teachers, All Other","11,600",,"66,654",*,"53,080",*,"31,329",*,"84,317",*
51-4052,"Pourers and Casters, Metal",90,,15.20,,14.44,,10.08,,17.75,
51-8012,"Power Distributors and Dispatchers",940,,31.23,,32.33,,22.83,,35.42,
51-8013,"Power Plant Operators","1,690",,28.31,,27.47,,22.03,,31.45,
49-9069,"Precision Instrument and Equipment Repairers, All Other",470,,22.50,,23.69,,15.66,,25.92,
51-5022,"Prepress Technicians and Workers","2,040",,16.85,,15.82,,11.93,,19.31,
25-2011,"Preschool Teachers, Except Special Education","19,270",,12.25,,10.96,,8.54,,14.10,
51-6021,"Pressers, Textile, Garment, and Related Materials","3,670",,9.79,,9.46,,8.13,,10.61,
51-5023,"Printing Machine Operators","7,720",,15.55,,14.61,,9.72,,18.47,
33-9021,"Private Detectives and Investigators","3,220",,22.65,,21.26,,13.19,,27.38,
21-1092,"Probation Officers and Correctional Treatment Specialists","6,200",,19.02,,18.33,,15.11,,20.97,
43-3061,"Procurement Clerks","4,570",,15.67,,15.50,,11.04,,17.98,
27-2012,"Producers and Directors","4,170",,30.40,,24.49,,14.43,,38.37,
51-9199,"Production Workers, All Other","4,560",,12.86,,11.87,,8.67,,14.94,
43-5061,"Production, Planning, and Expediting Clerks","10,570",,18.95,,17.96,,12.80,,22.02,
43-9081,"Proofreaders and Copy Markers",640,,14.73,,13.63,,9.73,,17.23,
11-9141,"Property, Real Estate, and Community Association Managers","10,900",,30.01,,25.11,,17.12,,36.45,
