"Florida Occupational Employment and Wages",,,,,,,,,,,
"Florida - Statewide",,,,,,,,,,,
Occupational,,2012,,"(2013 wage estimates in dollars)",,,,,,,
Code,Title,Employment,,Mean,,Median,,Entry**,,Exp***,
53-1031,"First-Line Supervisors/Managers of Transportation and Material-Moving Machine and Vehicle Operators","8,770",,26.89,,25.83,,18.05,,31.30,
33-1099,"First-Line Supervisors/Managers, Protective Service Workers, All Other","4,360",,21.32,,20.81,,12.99,,25.48,
33-3031,"Fish and Game Wardens",630,,20.93,,18.10,,16.63,,23.07,
39-9031,"Fitness Trainers and Aerobics Instructors","13,420",,15.03,,12.55,,8.43,,18.33,
53-2031,"Flight Attendants","6,490",,"42,776",*,"38,889",*,"26,481",*,"50,925",*
47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",410,,15.81,,15.58,,8.07,,19.67,
27-1023,"Floral Designers","2,780",,12.34,,12.04,,9.49,,13.75,
51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",360,,16.13,,16.64,,11.07,,18.66,
51-3092,"Food Batchmakers","2,480",,13.23,,12.90,,8.79,,15.44,
51-3093,"Food Cooking Machine Operators and Tenders",570,,14.62,,13.93,,9.93,,16.96,
35-9099,"Food Preparation and Serving Related Workers, All Other","3,300",,13.08,,11.74,,8.53,,15.34,
35-2021,"Food Preparation Workers","53,070",,9.97,,9.58,,8.23,,10.85,
51-3099,"Food Processing Workers, All Other","1,600",,12.25,,11.68,,9.28,,13.75,
19-1012,"Food Scientists and Technologists",160,,23.77,,19.89,,14.73,,28.28,
35-3041,"Food Servers, Nonrestaurant","13,970",,9.80,,9.22,,8.24,,10.58,
11-9051,"Food Service Managers","8,720",,27.88,,25.36,,18.96,,32.33,
25-1124,"Foreign Language and Literature Teachers, Postsecondary","1,080",,"76,086",*,"75,697",*,"45,798",*,"91,231",*
19-4092,"Forensic Science Technicians","1,450",,22.96,,21.74,,15.31,,26.79,
19-4093,"Forest and Conservation Technicians",200,,20.27,,20.51,,14.79,,23.01,
45-4011,"Forest and Conservation Workers",20,,21.01,,17.55,,12.85,,25.10,
19-1032,Foresters,430,,26.27,,23.17,,17.80,,30.51,
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",110,,"88,373",*,"88,643",*,"61,993",*,"101,563",*
51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",150,,16.76,,16.71,,13.46,,18.40,
51-4071,"Foundry Mold and Coremakers",320,,15.50,,15.82,,11.68,,17.41,
13-1131,Fundraisers,"1,670",,26.18,,24.69,,15.68,,31.44,
39-4021,"Funeral Attendants","2,370",,10.96,,10.57,,8.30,,12.29,
11-9061,"Funeral Service Managers",410,,35.06,,27.71,,23.19,,41.00,
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",260,,14.66,,13.91,,10.61,,16.69,
51-7021,"Furniture Finishers",440,,13.64,,13.09,,9.75,,15.59,
39-3012,"Gaming and Sports Book Writers and Runners","1,000",,12.78,,11.59,,8.62,,14.85,
43-3041,"Gaming Cage Workers",N/R,,12.46,,12.44,,9.06,,14.15,
41-2012,"Gaming Change Persons and Booth Cashiers","1,200",,10.71,,9.76,,8.45,,11.84,
39-3011,"Gaming Dealers","2,790",,12.48,,9.38,,8.22,,14.61,
11-9071,"Gaming Managers",80,,30.48,,27.11,,18.04,,36.71,
39-3019,"Gaming Service Workers, All Other",590,,10.85,,10.16,,8.14,,12.20,
39-1011,"Gaming Supervisors",330,,19.23,,17.67,,15.13,,21.29,
33-9031,"Gaming Surveillance Officers and Gaming Investigators",200,,14.80,,14.90,,10.86,,16.78,
51-8092,"Gas Plant Operators",190,,27.85,,27.30,,18.75,,32.40,
11-1021,"General and Operations Managers","73,410",,54.61,,46.66,,27.64,,68.09,
29-9092,"Genetic Counselors",70,,24.41,,22.59,,19.35,,26.93,
19-3092,Geographers,30,,25.86,,25.42,,16.78,,30.40,
25-1064,"Geography Teachers, Postsecondary",200,,"91,142",*,"87,645",*,"59,707",*,"106,860",*
19-4041,"Geological and Petroleum Technicians",30,,23.47,,19.00,,14.70,,27.86,
19-2042,"Geoscientists, Except Hydrologists and Geographers",650,,38.95,,36.67,,23.46,,46.69,
47-2121,Glaziers,"2,370",,17.35,,16.32,,11.38,,20.34,
45-2041,"Graders and Sorters, Agricultural Products","3,630",,8.50,,8.71,,8.20,,8.66,
25-1191,"Graduate Teaching Assistants",60,,N/R,,N/R,,N/R,,N/R,
27-1024,"Graphic Designers","10,920",,21.19,,19.51,,13.70,,24.92,
51-9022,"Grinding and Polishing Workers, Hand",460,,13.01,,12.83,,9.60,,14.71,
51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","1,060",,13.96,,13.46,,10.13,,15.87,
37-3019,"Grounds Maintenance Workers, All Other","1,140",,14.29,,13.03,,9.87,,16.49,
39-5012,"Hairdressers, Hairstylists, and Cosmetologists","22,620",,12.43,,10.88,,8.24,,14.53,
47-4041,"Hazardous Materials Removal Workers",690,,16.03,,15.50,,11.36,,18.36,
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","1,280",,33.57,,32.37,,23.01,,38.84,
29-1199,"Health Diagnosing and Treating Practitioners, All Other","3,620",,34.96,,31.05,,20.59,,42.15,
21-1091,"Health Educators","2,930",,21.52,,19.49,,13.49,,25.53,
25-1071,"Health Specialties Teachers, Postsecondary","9,400",,"94,531",*,"85,614",*,"46,704",*,"118,446",*
29-2099,"Health Technologists and Technicians, All Other","4,970",,21.13,,18.37,,13.48,,24.95,
29-9099,"Healthcare Practitioners and Technical Workers, All Other","1,270",,22.49,,17.00,,11.26,,28.10,
31-9099,"Healthcare Support Workers, All Other","2,550",,16.98,,17.83,,10.71,,20.12,
29-2092,"Hearing Aid Specialists",110,,27.49,,27.71,,15.48,,33.49,
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",140,,16.61,,16.44,,13.19,,18.32,
49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers","20,170",,20.11,,18.68,,14.18,,23.07,
47-3019,"Helpers, Construction Trades, All Other","1,040",,11.97,,11.79,,8.92,,13.50,
47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters",850,,10.61,,10.12,,8.17,,11.83,
47-3012,Helpers--Carpenters,"1,080",,12.49,,11.59,,9.94,,13.77,
47-3013,Helpers--Electricians,"4,260",,12.43,,12.04,,9.29,,14.00,
47-5081,"Helpers--Extraction Workers",200,,12.60,,12.58,,9.79,,14.00,
49-9098,"Helpers--Installation, Maintenance, and Repair Workers","5,900",,11.80,,10.91,,8.36,,13.51,
47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons",630,,11.70,,11.67,,10.10,,12.50,
47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters","2,410",,12.27,,12.04,,9.32,,13.74,
51-9198,"Helpers--Production Workers","10,490",,11.93,,11.21,,8.30,,13.73,
47-3016,Helpers--Roofers,"1,170",,11.13,,10.84,,8.58,,12.42,
47-4051,"Highway Maintenance Workers","2,640",,15.10,,13.94,,10.64,,17.33,
19-3093,Historians,60,,29.60,,30.95,,14.97,,36.92,
25-1125,"History Teachers, Postsecondary",700,,"80,243",*,"77,213",*,"51,195",*,"94,768",*
53-7041,"Hoist and Winch Operators",50,,17.87,,16.19,,13.22,,20.19,
49-9031,"Home Appliance Repairers","3,000",,16.89,,16.45,,10.99,,19.84,
25-1192,"Home Economics Teachers, Postsecondary",90,,N/R,,N/R,,N/R,,N/R,
31-1011,"Home Health Aides","30,010",,10.52,,10.15,,8.24,,11.67,
35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop","22,920",,9.71,,9.35,,8.23,,10.45,
43-4081,"Hotel, Motel, and Resort Desk Clerks","18,650",,10.82,,10.57,,8.45,,12.00,
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping","7,410",,16.98,,16.65,,12.76,,19.10,
11-3121,"Human Resources Managers","3,290",,51.32,,47.57,,33.09,,60.43,
19-2043,Hydrologists,360,,37.84,,38.06,,24.11,,44.71,
17-3026,"Industrial Engineering Technicians","2,530",,22.33,,19.95,,14.97,,26.00,
17-2112,"Industrial Engineers","10,190",,34.09,,33.06,,20.92,,40.66,
49-9041,"Industrial Machinery Mechanics","11,640",,22.11,,21.69,,15.09,,25.62,
11-3051,"Industrial Production Managers","3,420",,49.75,,45.30,,35.11,,57.08,
53-7051,"Industrial Truck and Tractor Operators","19,160",,15.13,,14.37,,10.58,,17.42,
43-4199,"Information and Record Clerks, All Other","14,410",,17.67,,17.57,,12.78,,20.12,
15-1122,"Information Security Analysts","3,070",,37.95,,36.35,,23.72,,45.07,
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers","13,460",,16.84,,15.85,,10.14,,20.19,
49-9099,"Installation, Maintenance, and Repair Workers, All Other","10,090",,15.54,,14.83,,10.06,,18.28,
25-9031,"Instructional Coordinators","8,290",,26.80,,25.27,,17.50,,31.45,
47-2131,"Insulation Workers, Floor, Ceiling, and Wall",900,,16.06,,14.57,,11.63,,18.28,
47-2132,"Insulation Workers, Mechanical",950,,17.32,,16.71,,13.12,,19.43,
13-1032,"Insurance Appraisers, Auto Damage","1,170",,26.58,,26.51,,21.71,,29.01,
43-9041,"Insurance Claims and Policy Processing Clerks","18,060",,16.49,,16.04,,12.66,,18.39,
41-3021,"Insurance Sales Agents","23,660",,31.22,,24.44,,17.41,,38.12,
13-2053,"Insurance Underwriters","5,860",,29.28,,27.37,,19.88,,33.98,
27-1025,"Interior Designers","2,930",,22.30,,18.93,,11.73,,27.58,
29-1063,"Internists, General","3,430",,106.82,,N/R,,N/R,,N/R,
27-3091,"Interpreters and Translators","1,930",,19.97,,18.54,,11.22,,24.36,
43-4111,"Interviewers, Except Eligibility and Loan","12,540",,14.18,,13.96,,10.55,,16.00,
37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","108,030",,10.36,,9.53,,8.23,,11.42,
51-9071,"Jewelers and Precious Stone and Metal Workers","1,320",,16.15,,14.60,,11.83,,18.31,
23-1023,"Judges, Magistrate Judges, and Magistrates","1,080",,63.60,,66.09,,58.12,,66.34,
25-2012,"Kindergarten Teachers, Except Special Education","10,050",,"48,613",*,"45,514",*,"35,248",*,"55,295",*
13-1075,"Labor Relations Specialists","3,050",,23.50,,22.88,,9.75,,30.38,
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand","103,470",,12.17,,11.07,,8.31,,14.10,
17-1012,"Landscape Architects",770,,33.95,,33.41,,22.25,,39.81,
37-3011,"Landscaping and Groundskeeping Workers","70,540",,11.26,,10.66,,8.30,,12.76,
51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",350,,16.84,,16.31,,12.08,,19.22,
51-6011,"Laundry and Dry-Cleaning Workers","14,700",,9.81,,9.31,,8.28,,10.58,
25-1112,"Law Teachers, Postsecondary",740,,"118,691",*,"116,837",*,"65,867",*,"145,103",*
23-1011,Lawyers,"40,870",,59.25,,48.49,,25.97,,75.89,
51-4192,"Lay-Out Workers, Metal and Plastic",220,,20.04,,20.56,,15.52,,22.29,
43-6012,"Legal Secretaries","15,960",,18.77,,18.18,,12.74,,21.79,
23-2099,"Legal Support Workers, All Other","5,430",,19.70,,18.65,,11.74,,23.68,
11-1031,Legislators,"1,750",,"42,577",*,"33,986",*,"26,195",*,"50,767",*
25-4021,Librarians,"6,440",,27.68,,26.28,,19.29,,31.87,
43-4121,"Library Assistants, Clerical","4,960",,12.21,,11.84,,8.94,,13.84,
25-1082,"Library Science Teachers, Postsecondary",90,,"93,128",*,"88,998",*,"60,324",*,"109,531",*
25-4031,"Library Technicians","2,110",,16.19,,15.47,,11.90,,18.33,
29-2061,"Licensed Practical and Licensed Vocational Nurses","42,980",,20.13,,20.12,,16.20,,22.09,
19-1099,"Life Scientists, All Other",150,,59.62,,40.47,,22.78,,78.03,
19-4099,"Life, Physical, and Social Science Technicians, All Other","3,020",,18.64,,18.10,,10.87,,22.53,
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers","6,410",,10.87,,9.71,,8.28,,12.16,
13-2071,"Loan Counselors","3,160",,21.08,,18.76,,14.98,,24.13,
43-4131,"Loan Interviewers and Clerks","12,510",,17.41,,17.34,,12.74,,19.74,
13-2072,"Loan Officers","19,540",,32.74,,29.76,,20.22,,39.00,
39-3093,"Locker Room, Coatroom, and Dressing Room Attendants","1,940",,9.70,,9.22,,8.22,,10.44,
49-9094,"Locksmiths and Safe Repairers","1,430",,18.28,,17.07,,11.50,,21.67,
53-4011,"Locomotive Engineers",410,,26.35,,26.93,,24.63,,27.21,
11-9081,"Lodging Managers","1,890",,32.58,,27.73,,18.05,,39.84,
45-4023,"Log Graders and Scalers",50,,14.94,,13.89,,10.95,,16.94,
45-4022,"Logging Equipment Operators",730,,15.66,,15.91,,10.66,,18.17,
13-1081,Logisticians,"3,970",,33.51,,32.13,,22.09,,39.21,
53-7063,"Machine Feeders and Offbearers","2,750",,15.57,,16.18,,10.45,,18.13,
51-4041,Machinists,"7,980",,18.46,,17.93,,12.38,,21.50,
29-2035,"Magnetic Resonance Imaging Technologists","3,700",,29.64,,30.05,,23.61,,32.65,
37-2012,"Maids and Housekeeping Cleaners","70,130",,9.53,,9.23,,8.24,,10.17,
43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service","6,470",,12.68,,11.76,,9.18,,14.43,
49-9071,"Maintenance and Repair Workers, General","70,720",,16.05,,15.06,,10.81,,18.66,
49-9043,"Maintenance Workers, Machinery","3,320",,17.42,,16.74,,11.81,,20.22,
39-5091,"Makeup Artists, Theatrical and Performance",120,,22.59,,19.83,,12.41,,27.68,
13-1111,"Management Analysts","35,840",,37.27,,31.64,,19.79,,46.01,
11-9199,"Managers, All Other","11,680",,45.71,,44.23,,25.91,,55.60,
39-5092,"Manicurists and Pedicurists","2,570",,10.99,,9.52,,8.22,,12.37,
49-9095,"Manufactured Building and Mobile Home Installers",N/R,,12.75,,9.35,,8.36,,14.95,
17-2121,"Marine Engineers and Naval Architects",420,,36.41,,36.38,,25.28,,41.97,
13-1161,"Market Research Analysts","13,260",,28.33,,26.35,,17.04,,33.97,
11-2021,"Marketing Managers","5,670",,56.08,,49.32,,30.28,,68.98,
21-1013,"Marriage and Family Therapists","2,130",,21.27,,19.91,,14.58,,24.61,
31-9011,"Massage Therapists","5,650",,18.53,,17.27,,11.02,,22.29,
53-7199,"Material Moving Workers, All Other","1,550",,21.20,,18.75,,11.96,,25.81,
17-2131,"Materials Engineers",510,,41.35,,41.64,,26.56,,48.74,
19-2032,"Materials Scientists",210,,35.85,,35.06,,18.91,,44.32,
25-1022,"Mathematical Science Teachers, Postsecondary","2,840",,"74,022",*,"72,187",*,"44,563",*,"88,751",*
15-2099,"Mathematical Scientists, All Other",60,,21.07,,21.50,,14.85,,24.17,
15-2091,"Mathematical Technicians",100,,16.28,,15.23,,12.94,,17.96,
51-3022,"Meat, Poultry, and Fish Cutters and Trimmers","4,470",,11.42,,11.06,,8.29,,12.97,
49-9011,"Mechanical Door Repairers",770,,17.04,,16.41,,11.79,,19.68,
17-3013,"Mechanical Drafters","1,590",,25.32,,24.19,,17.44,,29.26,
17-3027,"Mechanical Engineering Technicians","1,210",,23.73,,23.72,,15.49,,27.84,
17-2141,"Mechanical Engineers","6,550",,38.84,,36.92,,23.54,,46.48,
27-4099,"Media and Communication Equipment Workers, All Other",500,,33.62,,34.85,,19.66,,40.60,
27-3099,"Media and Communication Workers, All Other","1,260",,18.36,,17.15,,9.89,,22.61,
29-2012,"Medical and Clinical Laboratory Technicians","6,890",,17.18,,16.20,,10.83,,20.35,
29-2011,"Medical and Clinical Laboratory Technologists","9,150",,27.38,,27.35,,21.73,,30.20,
11-9111,"Medical and Health Services Managers","9,910",,51.05,,44.69,,32.11,,60.52,
21-1022,"Medical and Public Health Social Workers","6,370",,22.18,,21.37,,14.78,,25.87,
51-9082,"Medical Appliance Technicians",640,,18.37,,18.51,,12.08,,21.51,
31-9092,"Medical Assistants","38,080",,13.93,,13.69,,10.87,,15.48,
31-9093,"Medical Equipment Preparers","5,590",,13.19,,13.02,,10.33,,14.63,
49-9062,"Medical Equipment Repairers","2,740",,20.17,,17.95,,13.19,,23.65,
29-2071,"Medical Records and Health Information Technicians","10,480",,17.33,,16.02,,11.68,,20.16,
19-1042,"Medical Scientists, Except Epidemiologists","2,780",,39.95,,32.36,,20.29,,49.79,
43-6013,"Medical Secretaries","17,370",,14.55,,14.10,,11.63,,16.01,
31-9094,"Medical Transcriptionists","4,170",,15.39,,15.55,,11.36,,17.40,
13-1121,"Meeting, Convention, and Event Planners","3,560",,23.72,,22.05,,14.78,,28.17,
21-1023,"Mental Health and Substance Abuse Social Workers","3,330",,19.47,,17.80,,13.48,,22.47,
21-1014,"Mental Health Counselors","5,150",,20.48,,18.71,,13.65,,23.91,
27-1026,"Merchandise Displayers and Window Trimmers","2,700",,13.95,,13.07,,9.19,,16.32,
51-4199,"Metal Workers and Plastic Workers, All Other",230,,13.35,,11.39,,8.83,,15.60,
51-4051,"Metal-Refining Furnace Operators and Tenders",420,,12.86,,12.98,,11.33,,13.63,
43-5041,"Meter Readers, Utilities","1,560",,16.71,,15.92,,12.24,,18.96,
19-1022,Microbiologists,440,,30.89,,26.31,,18.36,,37.17,
25-2022,"Middle School Teachers, Except Special and Vocational Education","29,660",,"49,968",*,"46,628",*,"38,661",*,"55,621",*
51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",150,,17.65,,16.83,,13.34,,19.79,
49-9044,Millwrights,"1,070",,20.57,,19.41,,14.79,,23.46,
47-5042,"Mine Cutting and Channeling Machine Operators",80,,14.92,,13.23,,10.71,,17.01,
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",90,,32.91,,30.73,,20.93,,38.90,
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders","4,860",,14.74,,14.43,,10.22,,16.99,
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines","4,790",,20.55,,19.78,,15.03,,23.29,
51-4061,"Model Makers, Metal and Plastic",N/R,,28.58,,27.39,,20.80,,32.48,
41-9012,Models,40,,N/R,,N/R,,N/R,,N/R,
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic","1,600",,14.78,,14.27,,9.89,,17.22,
51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","2,880",,13.54,,12.90,,9.19,,15.73,
39-4031,"Morticians, Undertakers, and Funeral Directors","1,410",,25.37,,22.65,,16.28,,29.92,
39-3021,"Motion Picture Projectionists",970,,9.88,,9.72,,8.23,,10.70,
53-3099,"Motor Vehicle Operators, All Other","2,500",,13.38,,11.66,,8.36,,15.90,
49-3051,"Motorboat Mechanics","3,590",,16.99,,16.30,,10.93,,20.03,
53-5022,"Motorboat Operators","1,240",,15.96,,13.87,,9.13,,19.37,
49-3052,"Motorcycle Mechanics",750,,17.59,,17.21,,12.25,,20.26,
27-1014,"Multi-Media Artists and Animators",870,,25.23,,23.02,,19.41,,28.14,
51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",580,,16.28,,15.77,,11.51,,18.66,
25-4013,"Museum Technicians and Conservators",490,,15.60,,14.63,,10.20,,18.30,
27-2041,"Music Directors and Composers",630,,23.30,,21.96,,14.16,,27.87,
49-9063,"Musical Instrument Repairers and Tuners",460,,14.60,,13.69,,11.69,,16.06,
27-2042,"Musicians and Singers","2,640",,18.45,,12.60,,8.34,,23.50,
11-9121,"Natural Sciences Managers",960,,53.17,,49.28,,33.77,,62.87,
15-1142,"Network and Computer Systems Administrators","13,070",,37.66,,35.61,,24.67,,44.16,
43-4141,"New Accounts Clerks","2,080",,15.16,,14.79,,11.95,,16.76,
39-2021,"Nonfarm Animal Caretakers","7,900",,10.77,,9.64,,8.23,,12.05,
17-2161,"Nuclear Engineers",250,,46.76,,48.22,,37.22,,51.53,
29-2033,"Nuclear Medicine Technologists","2,090",,33.59,,33.66,,26.38,,37.20,
19-4051,"Nuclear Technicians",360,,33.18,,33.79,,25.36,,37.08,
51-4012,"Numerical Tool and Process Control Programmers",370,,21.10,,19.46,,14.87,,24.21,
29-1151,"Nurse Anesthetists","1,860",,66.77,,67.71,,59.51,,70.38,
29-1161,"Nurse Midwives",230,,42.96,,42.99,,38.23,,45.32,
29-1171,"Nurse Practitioners","5,930",,42.57,,42.48,,33.07,,47.32,
31-1014,"Nursing Assistants","84,740",,11.72,,11.42,,9.75,,12.70,
25-1072,"Nursing Instructors and Teachers, Postsecondary","2,370",,"73,430",*,"71,837",*,"49,164",*,"85,563",*
29-1064,"Obstetricians and Gynecologists",680,,108.98,,N/R,,N/R,,N/R,
29-9011,"Occupational Health and Safety Specialists","1,780",,31.81,,31.88,,21.42,,37.01,
29-9012,"Occupational Health and Safety Technicians",270,,23.83,,22.48,,16.31,,27.59,
31-2012,"Occupational Therapist Aides",150,,14.73,,13.90,,10.76,,16.71,
31-2011,"Occupational Therapist Assistants","1,450",,28.48,,28.90,,22.33,,31.55,
29-1122,"Occupational Therapists","6,160",,39.00,,38.98,,27.56,,44.72,
43-9199,"Office and Administrative Support Workers, All Other","7,000",,14.33,,11.89,,8.47,,17.25,
43-9061,"Office Clerks, General","140,590",,13.22,,12.39,,8.99,,15.35,
43-9071,"Office Machine Operators, Except Computer","3,050",,13.00,,12.51,,9.51,,14.74,
47-2073,"Operating Engineers and Other Construction Equipment Operators","11,840",,17.89,,16.77,,12.78,,20.45,
15-2031,"Operations Research Analysts","6,460",,27.55,,25.38,,18.24,,32.20,
51-9083,"Ophthalmic Laboratory Technicians","3,050",,16.11,,15.80,,11.53,,18.40,
29-2057,"Ophthalmic Medical Technicians",690,,16.90,,16.73,,13.24,,18.72,
29-2081,"Opticians, Dispensing","4,170",,18.08,,17.92,,12.24,,21.00,
29-1041,Optometrists,"1,320",,63.19,,48.52,,24.96,,82.29,
29-1022,"Oral and Maxillofacial Surgeons",N/R,,96.97,,N/R,,45.45,,122.72,
43-4151,"Order Clerks","14,650",,14.00,,13.36,,9.20,,16.40,
31-1015,Orderlies,"3,270",,10.54,,10.39,,8.31,,11.66,
29-1023,Orthodontists,310,,79.83,,86.53,,17.55,,110.97,
29-2091,"Orthotists and Prosthetists",620,,34.30,,31.53,,22.14,,40.39,
49-3053,"Outdoor Power Equipment and Other Small Engine Mechanics","3,000",,14.16,,13.80,,9.77,,16.35,
51-9111,"Packaging and Filling Machine Operators and Tenders","12,660",,13.18,,12.48,,9.07,,15.24,
53-7064,"Packers and Packagers, Hand","34,690",,9.67,,9.08,,8.30,,10.35,
47-2141,"Painters, Construction and Maintenance","13,140",,15.26,,14.76,,10.72,,17.52,
51-9122,"Painters, Transportation Equipment","2,450",,19.01,,17.60,,13.96,,21.53,
51-9123,"Painting, Coating, and Decorating Workers","1,590",,13.14,,12.98,,10.25,,14.58,
51-9196,"Paper Goods Machine Setters, Operators, and Tenders","2,290",,16.30,,15.29,,10.73,,19.09,
47-2142,Paperhangers,250,,17.42,,16.42,,13.31,,19.48,
23-2011,"Paralegals and Legal Assistants","23,240",,22.80,,21.83,,15.31,,26.54,
33-3041,"Parking Enforcement Workers",490,,19.36,,17.62,,11.88,,23.09,
53-6021,"Parking Lot Attendants","15,110",,9.46,,9.03,,8.32,,10.02,
41-2022,"Parts Salespersons","12,420",,15.48,,14.02,,9.81,,18.33,
51-4062,"Patternmakers, Metal and Plastic",40,,17.97,,16.66,,13.40,,20.26,
51-7032,"Patternmakers, Wood",20,,18.97,,17.86,,14.58,,21.17,
47-2071,"Paving, Surfacing, and Tamping Equipment Operators","1,900",,16.22,,14.80,,12.14,,18.26,
43-3051,"Payroll and Timekeeping Clerks","6,150",,17.73,,17.37,,13.21,,19.99,
29-1065,"Pediatricians, General","1,080",,81.29,,71.09,,46.88,,98.51,
39-9021,"Personal and Home Care Aides","13,260",,10.08,,9.58,,8.22,,11.02,
39-9099,"Personal Care and Service Workers, All Other","9,600",,11.18,,9.79,,8.21,,12.66,
13-2052,"Personal Financial Advisors","11,420",,39.73,,29.83,,17.68,,50.76,
37-2021,"Pest Control Workers","7,530",,14.53,,13.77,,10.40,,16.59,
37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","3,280",,15.53,,15.44,,11.22,,17.68,
17-2171,"Petroleum Engineers",N/R,,48.61,,38.08,,26.52,,59.66,
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",230,,22.90,,24.04,,16.87,,25.92,
29-1051,Pharmacists,"18,040",,55.68,,55.82,,47.36,,59.84,
31-9095,"Pharmacy Aides","2,230",,10.62,,10.20,,8.26,,11.81,
29-2052,"Pharmacy Technicians","23,490",,13.91,,13.63,,10.64,,15.54,
25-1126,"Philosophy and Religion Teachers, Postsecondary",740,,"72,974",*,"67,497",*,"41,305",*,"88,807",*
31-9097,Phlebotomists,"5,470",,13.32,,13.13,,10.66,,14.65,
27-4021,Photographers,"4,380",,13.78,,10.86,,8.44,,16.45,
51-9151,"Photographic Process Workers and Priocessing Machine Operators","2,290",,12.10,,11.12,,8.75,,13.77,
19-2099,"Physical Scientists, All Other",440,,36.40,,33.76,,23.19,,43.01,
31-2022,"Physical Therapist Aides","2,260",,12.26,,11.60,,9.72,,13.52,
31-2021,"Physical Therapist Assistants","4,630",,28.00,,27.98,,21.40,,31.30,
29-1123,"Physical Therapists","11,820",,40.57,,39.94,,28.80,,46.45,
29-1071,"Physician Assistants","3,870",,46.88,,45.38,,35.12,,52.78,
29-1069,"Physicians and Surgeons, All Other","16,250",,98.62,,N/R,,53.41,,121.21,
19-2012,Physicists,340,,73.05,,64.16,,43.69,,87.72,
25-1054,"Physics Teachers, Postsecondary",680,,"88,497",*,"87,889",*,"51,711",*,"106,890",*
47-2072,"Pile-Driver Operators",280,,21.27,,20.94,,16.24,,23.78,
47-2151,Pipelayers,"4,210",,16.68,,15.92,,11.89,,19.08,
51-8099,"Plant and System Operators, All Other",510,,22.15,,22.64,,14.41,,26.02,
47-2161,"Plasterers and Stucco Masons","1,580",,15.77,,15.99,,11.48,,17.92,
51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",560,,14.50,,13.58,,9.76,,16.86,
47-2152,"Plumbers, Pipefitters, and Steamfitters","15,360",,19.64,,18.81,,14.02,,22.45,
29-1081,Podiatrists,570,,72.78,,63.14,,35.74,,91.31,
33-3051,"Police and Sheriff's Patrol Officers","35,090",,27.52,,26.32,,18.77,,31.91,
43-5031,"Police, Fire, and Ambulance Dispatchers","6,060",,19.02,,17.83,,13.36,,21.85,
25-1065,"Political Science Teachers, Postsecondary",520,,"89,644",*,"86,383",*,"57,303",*,"105,815",*
19-3094,"Political Scientists",10,,48.94,,40.47,,36.10,,55.37,
43-5051,"Postal Service Clerks","3,800",,25.06,,26.03,,22.74,,26.23,
43-5052,"Postal Service Mail Carriers","17,520",,25.84,,27.69,,22.00,,27.76,
43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators","7,010",,24.78,,26.02,,21.97,,26.18,
11-9131,"Postmasters and Mail Superintendents",400,,37.41,,37.77,,27.72,,42.25,
25-1199,"Postsecondary Teachers, All Other","9,220",,"73,918",*,"67,727",*,"39,788",*,"90,982",*
51-4052,"Pourers and Casters, Metal",50,,12.29,,11.14,,9.12,,13.89,
51-8012,"Power Distributors and Dispatchers",410,,30.47,,30.72,,21.97,,34.72,
51-8013,"Power Plant Operators","1,470",,31.41,,31.85,,23.79,,35.22,
49-9069,"Precision Instrument and Equipment Repairers, All Other",340,,24.91,,24.56,,18.16,,28.29,
